epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3014,1.22336,1.56576,1.00407,0.53992,0.55046,0.47719,0.23364,1.73148,1.82961,1.01786,0.0672973,0.00033033,0.00033033
2,162.241,1.08163,0.80261,0.95749,0.91316,0.91284,0.96325,0.59502,1.26097,0.79679,0.89097,0.0342951,0.000661474,0.000661474
3,235.617,1.04911,0.74828,0.95948,0.98065,0.9289,0.97947,0.64809,1.14323,0.62439,0.87928,0.00129072,0.000990417,0.000990417
4,302.501,1.01582,0.70871,0.94383,0.98052,0.92378,0.97157,0.67169,1.05042,0.59253,0.85445,0.0009901,0.0009901,0.0009901
5,367.546,0.98793,0.65736,0.92457,0.97873,0.94984,0.97936,0.65468,1.13812,0.57773,0.86842,0.0009868,0.0009868,0.0009868
6,434.126,0.96587,0.64476,0.92553,0.99469,0.92431,0.97057,0.68254,1.03503,0.59297,0.8512,0.0009835,0.0009835,0.0009835
7,503.235,0.94593,0.6113,0.93396,0.97917,0.94954,0.97503,0.69707,0.9217,0.63459,0.83575,0.0009802,0.0009802,0.0009802
8,567.879,0.9314,0.59648,0.91467,0.97693,0.93349,0.97939,0.67555,1.03357,0.53951,0.85498,0.0009769,0.0009769,0.0009769
9,633.622,0.92148,0.58514,0.92108,0.98769,0.97018,0.99114,0.69178,0.98715,0.53939,0.84537,0.0009736,0.0009736,0.0009736
10,697.333,0.8927,0.55854,0.90415,0.98793,0.93826,0.97879,0.71245,0.92437,0.49655,0.8347,0.0009703,0.0009703,0.0009703
11,761.609,0.90009,0.56231,0.91415,0.98818,0.96789,0.98163,0.63597,1.16691,0.56064,0.86994,0.000967,0.000967,0.000967
12,824.842,0.90137,0.55427,0.91064,0.98835,0.91743,0.97653,0.71613,0.89456,0.513,0.83811,0.0009637,0.0009637,0.0009637
13,888.146,0.87726,0.54414,0.90561,0.97779,0.95872,0.97806,0.709,0.87879,0.48307,0.82925,0.0009604,0.0009604,0.0009604
14,953.445,0.88962,0.54548,0.91205,0.97873,0.95872,0.98296,0.71288,0.9496,0.504,0.84031,0.0009571,0.0009571,0.0009571
15,1016.94,0.88874,0.54303,0.90778,0.98601,0.95413,0.98383,0.71445,0.95878,0.50391,0.83875,0.0009538,0.0009538,0.0009538
16,1082.79,0.86927,0.5315,0.90763,0.98575,0.95413,0.99124,0.70666,0.96982,0.49119,0.83202,0.0009505,0.0009505,0.0009505
17,1147.3,0.86412,0.53954,0.90671,0.98367,0.96739,0.98216,0.72459,0.85203,0.48562,0.82226,0.0009472,0.0009472,0.0009472
18,1211.76,0.8684,0.52678,0.90261,0.96489,0.96789,0.98379,0.74033,0.86074,0.47385,0.82011,0.0009439,0.0009439,0.0009439
19,1275.5,0.83575,0.50931,0.89012,0.97225,0.96416,0.98383,0.72688,0.92477,0.47743,0.84337,0.0009406,0.0009406,0.0009406
20,1341.27,0.84868,0.50986,0.893,0.98339,0.95074,0.98363,0.73445,0.85102,0.46383,0.82208,0.0009373,0.0009373,0.0009373
21,1405.32,0.83144,0.49568,0.88572,0.96745,0.95432,0.98391,0.73875,0.89202,0.45929,0.82838,0.000934,0.000934,0.000934
22,1469.42,0.83482,0.49867,0.89252,0.98357,0.96091,0.97849,0.72296,0.86108,0.46316,0.83063,0.0009307,0.0009307,0.0009307
23,1534.84,0.82589,0.4982,0.89273,0.98356,0.96082,0.97973,0.72096,0.86578,0.48797,0.82323,0.0009274,0.0009274,0.0009274
24,1598.08,0.84326,0.51051,0.89747,0.97948,0.97018,0.98644,0.74543,0.88886,0.44891,0.83205,0.0009241,0.0009241,0.0009241
25,1662.25,0.81324,0.49001,0.89013,0.98199,0.94954,0.9825,0.72714,0.8408,0.45675,0.81789,0.0009208,0.0009208,0.0009208
26,1728.28,0.81104,0.48653,0.88927,0.97543,0.9656,0.98073,0.72827,0.84662,0.45707,0.82244,0.0009175,0.0009175,0.0009175
27,1792.69,0.80615,0.48278,0.89101,0.97449,0.96394,0.98676,0.77071,0.80976,0.43918,0.81448,0.0009142,0.0009142,0.0009142
28,1858.21,0.81845,0.47328,0.88361,0.98382,0.97631,0.9856,0.74375,0.84462,0.43517,0.81801,0.0009109,0.0009109,0.0009109
29,1923.34,0.84873,0.49328,0.89639,0.98572,0.95015,0.9841,0.71805,0.97976,0.47165,0.83312,0.0009076,0.0009076,0.0009076
30,1988.21,0.80322,0.46589,0.88427,0.98546,0.93286,0.97867,0.73555,0.85831,0.47471,0.82215,0.0009043,0.0009043,0.0009043
31,2052.8,0.82157,0.47915,0.88659,0.98001,0.97018,0.9838,0.70999,0.93522,0.46273,0.83256,0.000901,0.000901,0.000901
32,2116.83,0.8056,0.46708,0.88305,0.97463,0.95872,0.97387,0.71299,0.86015,0.45377,0.81878,0.0008977,0.0008977,0.0008977
33,2181.05,0.80331,0.47631,0.88867,0.99258,0.97248,0.98894,0.73978,0.88913,0.45648,0.82474,0.0008944,0.0008944,0.0008944
34,2245.04,0.78914,0.47088,0.88988,0.99063,0.96995,0.98139,0.74327,0.82477,0.44545,0.81646,0.0008911,0.0008911,0.0008911
35,2310.36,0.79054,0.46543,0.88136,0.993,0.97633,0.99277,0.73889,0.82751,0.43373,0.81179,0.0008878,0.0008878,0.0008878
36,2374.88,0.80274,0.47564,0.88593,0.98743,0.97018,0.98642,0.73181,0.94269,0.44045,0.83895,0.0008845,0.0008845,0.0008845
37,2440.53,0.79582,0.45912,0.88233,0.9896,0.95642,0.97979,0.75568,0.82771,0.44146,0.81485,0.0008812,0.0008812,0.0008812
38,2505,0.77379,0.45443,0.87738,0.99361,0.9633,0.98877,0.7377,0.85741,0.44032,0.82414,0.0008779,0.0008779,0.0008779
39,2572.74,0.78417,0.45202,0.87813,0.98604,0.97186,0.9852,0.75713,0.81582,0.4233,0.81286,0.0008746,0.0008746,0.0008746
40,2635.43,0.7691,0.45373,0.87392,0.986,0.96935,0.98811,0.7429,0.87977,0.43037,0.82409,0.0008713,0.0008713,0.0008713
41,2698.72,0.7702,0.4519,0.87122,0.99761,0.95927,0.98798,0.75703,0.85886,0.43739,0.8229,0.000868,0.000868,0.000868
