epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0452,2.54381,2.23898,2.76891,0.85556,0.83028,0.88686,0.50233,1.62564,1.11229,1.73023,0.0671784,0.000331532,0.000331532
2,146.649,1.6167,1.11386,1.78285,0.93924,0.91972,0.96176,0.56028,1.48215,0.83745,1.42216,0.0341762,0.000662671,0.000662671
3,216.797,1.44751,0.99284,1.5493,0.96826,0.92661,0.97095,0.58618,1.27944,0.78604,1.25256,0.00117179,0.00099161,0.00099161
4,282.045,1.33228,0.89701,1.39309,0.98183,0.91284,0.96879,0.64615,1.11599,0.71617,1.14172,0.0009901,0.0009901,0.0009901
5,347.06,1.29616,0.85097,1.33496,0.96414,0.92202,0.96571,0.64489,1.15306,0.69139,1.13667,0.0009868,0.0009868,0.0009868
6,414.343,1.23976,0.8165,1.2752,0.9717,0.94488,0.97858,0.63235,1.26104,0.72801,1.18742,0.0009835,0.0009835,0.0009835
7,480.287,1.22939,0.78422,1.2484,0.97608,0.94266,0.97583,0.66192,1.11263,0.65854,1.11649,0.0009802,0.0009802,0.0009802
8,543.493,1.14181,0.7578,1.20275,0.98935,0.94495,0.9814,0.64493,1.18523,0.62621,1.15177,0.0009769,0.0009769,0.0009769
9,610.527,1.15735,0.75487,1.20497,0.98556,0.94266,0.97994,0.63193,1.22624,0.62304,1.15795,0.0009736,0.0009736,0.0009736
10,674,1.11806,0.70582,1.16592,0.98421,0.95413,0.97821,0.68734,1.01853,0.60508,1.05722,0.0009703,0.0009703,0.0009703
11,739.228,1.08751,0.70626,1.15787,0.97887,0.97018,0.98664,0.71262,0.99449,0.57052,1.0332,0.000967,0.000967,0.000967
12,803.488,1.07487,0.69777,1.15341,0.99292,0.9652,0.99155,0.67209,1.07645,0.56312,1.0845,0.0009637,0.0009637,0.0009637
13,867.799,1.06361,0.66453,1.13152,0.97633,0.94609,0.9773,0.64874,1.04442,0.59728,1.06564,0.0009604,0.0009604,0.0009604
14,933.787,1.06806,0.6827,1.1423,0.99062,0.96938,0.98964,0.66926,1.13366,0.55986,1.09794,0.0009571,0.0009571,0.0009571
15,997.484,1.03905,0.66231,1.11793,0.97852,0.9656,0.98287,0.71728,0.94108,0.53026,1.0076,0.0009538,0.0009538,0.0009538
16,1063.69,1.01363,0.63704,1.09898,0.99107,0.95872,0.98878,0.70294,1.00062,0.52951,1.04018,0.0009505,0.0009505,0.0009505
17,1126.61,1.03081,0.64863,1.11899,0.99278,0.95642,0.98774,0.70527,1.02021,0.51405,1.04281,0.0009472,0.0009472,0.0009472
18,1191.41,1.0136,0.62754,1.097,0.98131,0.96323,0.98451,0.7027,0.99691,0.54949,1.03258,0.0009439,0.0009439,0.0009439
19,1254.9,0.99641,0.6138,1.10159,0.98587,0.95995,0.98367,0.7119,0.98655,0.52685,1.03785,0.0009406,0.0009406,0.0009406
20,1317.34,1.00872,0.61404,1.09318,0.98657,0.97477,0.98758,0.71196,1.008,0.49943,1.0379,0.0009373,0.0009373,0.0009373
21,1382.58,0.9989,0.61146,1.09053,0.99295,0.96867,0.9909,0.7095,1.02187,0.51276,1.04286,0.000934,0.000934,0.000934
22,1446.69,0.98655,0.60998,1.07742,0.98529,0.96789,0.98741,0.66189,1.11909,0.5553,1.08465,0.0009307,0.0009307,0.0009307
